Report Name,Keyword,Count
10X Genomics Inc.pdf,business ethics,0
10X Genomics Inc.pdf,ethics,6
10X Genomics Inc.pdf,society,0
10X Genomics Inc.pdf,social value,0
10X Genomics Inc.pdf,climate change,0
10X Genomics Inc.pdf,environment,6
10X Genomics Inc.pdf,environmental management,0
1847 Goedeker Inc.pdf,business ethics,0
1847 Goedeker Inc.pdf,ethics,6
1847 Goedeker Inc.pdf,society,0
1847 Goedeker Inc.pdf,social value,0
1847 Goedeker Inc.pdf,climate change,0
1847 Goedeker Inc.pdf,environment,8
1847 Goedeker Inc.pdf,environmental management,0
